station,tmax_media,provincia,lon,lat,altura
AEROPARQUE AERO,17.8,CAPITAL FEDERAL,-58.416666666666664,-34.56666666666667,6
AZUL AERO,17,BUENOS AIRES,-59.88333333333333,-36.833333333333336,147
BAHIA BLANCA AERO,16.7,BUENOS AIRES,-62.166666666666664,-38.733333333333334,83
BARILOCHE AERO,9.2,RIO NEGRO,-71.16666666666667,-41.15,835
BENITO JUAREZ AERO,16.5,BUENOS AIRES,-59.78333333333333,-37.71666666666667,207
BERNARDO DE IRIGOYEN AERO,16.4,MISIONES,-53.65,-26.25,815
BOLIVAR AERO,17.9,BUENOS AIRES,-61.06666666666667,-36.2,94
BUENOS AIRES OBSERVATORIO,19.5,CAPITAL FEDERAL,-58.483333333333334,-34.583333333333336,25
CAMPO DE MAYO AERO,18.7,BUENOS AIRES,-58.666666666666664,-34.53333333333333,26
CATAMARCA AERO,23.6,CATAMARCA,-65.76666666666667,-28.6,464
CERES AERO,22.8,SANTA FE,-61.95,-29.883333333333333,88
CHAMICAL AERO,21,LA RIOJA,-66.28333333333333,-30.366666666666667,461
CHAPELCO AERO,10.3,NEUQUEN,-71.13333333333334,-40.083333333333336,779
CHEPES,22,LA RIOJA,-66.6,-31.333333333333332,658
CHILECITO AERO,24.5,LA RIOJA,-67.43333333333334,-29.233333333333334,947
CIPOLLETTI,21,RIO NEGRO,-67.96666666666667,-38.95,265
COMODORO RIVADAVIA AERO,15.2,CHUBUT,-67.5,-45.78333333333333,46
CONCORDIA AERO,17.9,ENTRE RIOS,-58.016666666666666,-31.3,38
CORDOBA AERO,23.8,CORDOBA,-64.2,-31.3,495
CORDOBA OBSERVATORIO,NA,CORDOBA,-64.18333333333334,-31.4,425
CORONEL PRINGLES AERO,16.8,BUENOS AIRES,-61.333333333333336,-38.016666666666666,247
CORONEL SUAREZ AERO,16,BUENOS AIRES,-61.88333333333333,-37.43333333333333,233
CORRIENTES AERO,20.3,CORRIENTES,-58.766666666666666,-27.45,62
DOLORES AERO,18,BUENOS AIRES,-57.733333333333334,-36.35,9
EL BOLSON AERO,11.3,RIO NEGRO,-71.51666666666667,-41.96666666666667,337
